*propname*'s?,,,
is looking forward to his new college town.,,,
"people come and go and will always disappoint so i only invest in god. lord, i belong to you until the end of time. i just wanna be close to you.",,,
"""on the sixth day, god created man. on the seventh day, man returned the favor.""",,,
"thanks friends, i had a really special birthday :)",,,
"38 miles last week, more this week, lifting despite the soar screeches on my muscles. my body hates me right now...",,,
is a licensed driver again! woo hoo,,,
why has my status become a warzone.... @.@,,,
"bored,. nag sayang2 nalang ko ug kwarta para lang na.ai mabuhat.",,,
has so much to do!,,,
"lots to be happy about--- my standard 9:00-6:00//300 mins of class monday at the law school is over, my apartment is totally unpacked, and *propname* is coming to visit!",,,
"bulgogi turned out tasty after all. congrats to all those with working ovens who roasted a beautiful bird, it's fun hearing your success stories. merry christmas!!",,,
i like where we are. here :)...except...where's my julie?????? :(((. i don't like where we are anymore...,,,
shame on me. raetjgliajgtjajgaijglajweglkjajga,,,
wonders if its just coincidence that mine and my best friend's birthdays are exactly twoo weeks apart.,,,
at rue,,,
@ the library. listenin 2 music. otherwise really bored.,,,
"riverside is a strange and wonderious, mostly strange, place were when you show up at noon you are required to murder avocados and eat dinner at 3:30. merry christmas world, i'm stranded with my family.",,,
http:////www.youtube.com//watch?v=rtppbhuenj4,,,
"is done with the final exam... and anxiously awaiting a weekend of fun!  fireworks, anyone?",,,
c-span is unbelievable... the house is a zoo this morning....  rep. dingell is being a very unfair kindergarten teacher over an unruly class...,,,
"no snow yet down south, but it is raining.  snow is expected, but only a trace.",,,
somtimes you just gotta laugh.,,,
"why does facebook think i live in atlanta?  something is wrong with the targeted ads.  it is comforting to know, however, that i could still become a police officer or save 83% on my insurance.",,,
laissez le bon temps rouler!,,,
"finished my memo!  sleep time, then heading home tomorrow for *propname*'s wedding this weekend!!",,,
can obama will the us to victory over brazil sunday?,,,
is making apple-carrot muffins like no one's business.,,,
is headed for boston to be with her lovers... *propname* & *propname* are happy :d,,,
won a guitar at six flags for dominating a 3 point shooting contest!,,,
can't stop here! this is bat country!,,,
"truly knows so little. thank you, oh lord, that you are wise and you are mighty. thank you, lord, that your grace knows no limits or bounds. i pray you're will be done here on earth as it is in heaven and that we give you glory with our lives.",,,
hardly strictly or bust!,,,
is relaxing in fremont with the fam.  tomorrow it's off to the driftwood & possibly kc's :),,,
bit my nails through that whole game... a wins a win though : ),,,
still hoping wla mi class. :p,,,
why is sjur blasting music at 730 am,,,
the spaces between my fingers are where yours fit perfectly :) school til 7:30,,,
"is not participating in society today.  if that is a problem, you are free to leave a message with the receptionist i don't have.",,,
your             problem is that you think you have time,,,
is sitting in barnes and noble :-) yay free wifi!,,,
has settled on a parish. happy days.,,,
"oh yes its ladies night, and the feelins right! oh yes its ladies night, oh what a night...",,,
m-u-s-t stop looking at maps...,,,
fantastic day of hanging out with friends and doing some shopping:) relaxing on the couch reading for a bit,,,
my id card has been found! =d,,,
looks a lot more like a young lenin with his ushanka than he ever realized.,,,
"to take, hold, or steal your heart. a person who is a soulmate. a good lover",,,
"just finished watching "" dear zachary: a letter from a father to his son"". it was a pretty good documentary but very emotional...i suggest having tissues nearby",,,
*propname* race for the cure,,,
wooo! blue moon new year's eve!,,,
does it count as a new years resolutiion to resolve to watch every episode of a tv series?,,,
three days to christmas!!!!!! <3 <3,,,
my hair is turning black!!!,,,
stanford says no. :(,,,
wonders how people can be so retarded...either that or i'm just feeling bitchy today,,,
"spent the evening in an awesome blanket fort, has a thanksgiving potluck tonight, birthday dinner tomorrow, and crazy canadian adventure over the weekend :d",,,
"3-hour exam tomorrow, then a day and a half (less if i drop into new york wednesday) to pack everything before driving out thursday to reach iowa on friday.  someone tell me i'm not insane, please.",,,
happy merry christmas friends.,,,
loser mode. hahaha,,,
three flakes and schools are closed tomorrow?  weak,,,
wishes the weekend was longer. yayyyyy nc! yay smancy!,,,
is repairing her very broken math skills one equation at a time,,,
happy//sad//boring valentine's day everyone!,,,
nouveau contrat en fonction lundi: controlleur place dupuis! ya baby!!!,,,
"is in king salmon, ak.",,,
all see's became spy's in my pirate profile yarr,,,
à coeur vaillant rien d'impossible.,,,
"well, this poem might, loosely, imitate *propname*'s poem... not sure i used enough imagery",,,
is going to get off her ass and actually be productive today!,,,
bipolar and this job are like *propname* and *propname* or an articulate fob.,,,
"well, according to my parents, when i was like 6, everytime my sister tried to call me 'abang', i'd shout at her and say, ""brother!! not abang!!"" at least now i know why i never got anywhere with malay >.>",,,
visiting mah' parents...ready to play beatles rockband with muh' brothas. haha,,,
stomach wants to kill me ://,,,
is going to the city tonight even though she's broken! ooo and my cousin drew a pretty pink cupcake on my cast :d,,,
"haha, poor richie, richie, richie:]",,,
going to see newt gingrich speak thursday night at the kennedy school of government forum.........anyone have a good question i can ask him during the q and a?,,,
"weak hearts faint, when troubles rises. brave hearts soars, steals all the prizes. false heart, it shrinks small in peace. and finds in fear, no sucrease.",,,
hates the person downstairs. i'm trying to work up here. i don't need you singing a vocalese while you're gargling at the sink. i mean really...,,,
anyone wanna watch ice age 3 with me tomorrow?,,,
doesn't want to study anymore!!,,,
off to work i go!!!,,,
"working out, target, and the starting the immense amount of reading i have to do.",,,
"is relaxing with *propname*, *propname*, & *propname*...and *propname* is showing me pictures of boston and making me sad...",,,
does not want to go back to berkeley.... well except for friendzies <3,,,
"sad & depressed as hell, but rocking the living fuck out...weird combination.",,,
is anyone else catching the disastrous wordspacing on the screenshot for ibooks? why cant each book be typeset the way it was for print?,,,
yesterday was so much fun... @ the palm springs invite we had 2 runners win their race.  i personally came in 17th out of 60 runners in the jv race with a time of 15:05 for 2 miles.,,,
obama won the nobel peace prize!!!! laaaaaaaammmme!,,,
"""you white, then you *propname*k""",,,
never relized how tiring it is to be social for exstended periods of time.,,,
tired,,,
superfastinternet is beautiful.,,,
yay snow,,,
is kinda confused....sigh,,,
reflecting upon an entire week of school break: - good news - i cleaned my room! - bad news   - that was about the only beneficial thing i did the entire week..... conclusion: i'm sooooo screwed..... >_>,,,
missing the hubby out on boys night out <3  lol,,,
i am not one to get into the christmas cheer but damn it i want to watch a charlie brown christmas...,,,
...according to my personality profile my ideal partner is an istj...interesting,,,
is finally doing what she should have done a long time ago. a burden has been lifted.,,,
the best argument against democracy is a five-minute conversation with the average voter.,,,
and *propname*. leaders of an awesome (yet possibly painful) new world order.,,,
and mosquito bites,,,
que es lo que en realidad se debe de hacer? lo que el corazón dicta o lo que la razon te dice?,,,
is excited to pop chuckies natives cherry!,,,
is watching *propname* xy instead of doing the mass of computing i have to do for tomorrow.,,,
sleep. i have the act in the morning after all...,,,
"dear car battery: why are you dead again?  what am i going to do with you?? (no, really--what am i supposed to do with it?)  you make me sad. ://",,,
